Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0.0,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,669.0,85.0,150.0,550.0,3,0.4100909718472548,0.45086746901037594,0.706140350877193,0.43478260869565216,0.5,0.9482758620689655,0.09210526315789473,0.004347826086956522,0.02631578947368421,0.0012422360248447205
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0.0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,53.0,90.0,,3,0.4100909718472548,0.45086746901037594,0.2807017543859649,0.13043478260869565,0.25,,0.1111111111111111,0.00625,0.0,0.0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0.0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,34.0,152.0,30.0,3,0.4100909718472548,0.45086746901037594,0.013157894736842105,0.43478260869565216,0.25,0.05172413793103448,0.23076923076923078,0.1,0.0,0.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,0.0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,122.0,,2,0.027477369981550318,1.7545398719185894,0.49270767279644895,0.5147679324894515,0.6666666666666666,,0.14545454545454545,0.010296010296010296,0.0,0.0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,78.0,104.0,80.0,2,0.027477369981550318,1.7545398719185894,0.507292327203551,0.48523206751054854,0.3333333333333333,1.0,0.1076923076923077,0.00875,0.015384615384615385,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0.0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,,110.0,84.0,300.0,47.0,107.0,,12,0.03037034894240195,7.330706496838633,0.00909090909090909,0.06662628709872805,0.06451612903225806,,0.5,0.056818181818181816,0.0,0.0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0.0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,,,69.0,350.0,78.0,140.0,,12,0.03037034894240195,7.330706496838633,0.08904958677685951,,0.16129032258064516,,0.1791044776119403,0.013921113689095127,0.0,0.0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0.0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,170.0,,12,0.03037034894240195,7.330706496838633,0.052169421487603305,0.09872804360993337,0.06451612903225806,,0.15384615384615385,0.015841584158415842,0.0,0.0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,0.0,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,243.0,66.0,400.0,159.0,,,12,0.03037034894240195,7.330706496838633,0.3615702479338843,0.14718352513628105,0.22580645161290322,,0.16233766233766234,0.007142857142857143,0.05844155844155844,0.0025714285714285713
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,59.0,130.0,,12,0.03037034894240195,7.330706496838633,0.04390495867768595,0.08479709267110842,0.06451612903225806,,0.125,0.009411764705882352,0.0,0.0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,150.0,73.0,12,0.03037034894240195,7.330706496838633,0.029958677685950414,0.07147183525136282,0.03225806451612903,0.3080168776371308,0.23728813559322035,0.04827586206896552,0.03389830508474576,0.006896551724137931
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,,0,0,0,0,4,0,4,26.0,,2.5,400.0,80.0,175.0,67.0,178.0,69.0,200.0,,12,0.03037034894240195,7.330706496838633,0.04132231404958678,0.10599636583888553,,,0.15384615384615385,0.01,0.0,0.0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0.0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,144.0,,12,0.03037034894240195,7.330706496838633,0.1446280991735537,0.08479709267110842,0.03225806451612903,,0.24444444444444444,0.007857142857142858,0.0,0.0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,79.0,143.0,164.0,12,0.03037034894240195,7.330706496838633,0.024793388429752067,0.06723198061780739,0.1935483870967742,0.6919831223628692,0.42857142857142855,0.05,0.0,0.0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,,0,0,0,1,1,2,4,18.0,,0.4,200.0,20.0,150.0,83.0,400.0,50.0,144.0,,12,0.03037034894240195,7.330706496838633,0.02066115702479339,0.09085402786190187,,,0.2222222222222222,0.02,0.0,0.0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0.0,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,151.0,80.0,500.0,125.0,150.0,,12,0.03037034894240195,7.330706496838633,0.17045454545454544,0.09145972138098123,0.0967741935483871,,0.11428571428571428,0.007272727272727273,0.047619047619047616,0.0030303030303030303
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0.0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,,150.0,48.0,400.0,69.0,144.0,,12,0.03037034894240195,7.330706496838633,0.012396694214876033,0.09085402786190187,0.06451612903225806,,0.35714285714285715,0.041666666666666664,0.0,0.0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0.0,0,1,2,1,2,3,9,145.0,3.0,1.5,1428.0,125.0,230.0,73.0,350.0,85.0,233.0,,14,0.24310890445403296,13.449382289084866,0.030233739837398375,0.11482775836245632,0.075,,0.06206896551724138,0.0063025210084033615,0.006896551724137931,0.0007002801120448179
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,0.0,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,138.0,72.0,300.0,179.0,138.0,,14,0.24310890445403296,13.449382289084866,0.11680640243902439,0.06889665501747379,0.25,,0.11904761904761904,0.0072503172013775605,0.044642857142857144,0.0027188689505165853
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,0.0,2,4,0,4,4,9,24,150.0,6.0,1.7,2527.0,364.0,164.0,47.0,300.0,158.0,164.0,,14,0.24310890445403296,13.449382289084866,0.05350186314363144,0.08187718422366451,0.15,,0.16,0.009497427779976256,0.02666666666666667,0.0015829046299960427
Purgatory,Colorado,Colorado,10822,2029,8793,0,0.0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,130.0,54.0,260.0,89.0,130.0,,14,0.24310890445403296,13.449382289084866,0.03398119918699187,0.06490264603095357,0.225,,0.1188118811881188,0.007476635514018692,0.019801980198019802,0.0012461059190031153
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,100.0,104.0,150.0,25.0,100.0,10.0,14,0.24310890445403296,13.449382289084866,0.0010586043360433603,0.04992511233150274,0.025,0.09090909090909091,0.23529411764705882,0.08,0.0,0.0
Loveland,Colorado,Colorado,13010,2210,10800,0,0.0,0,1,3,3,2,1,10,94.0,1.0,2.0,1800.0,240.0,205.0,82.0,422.0,79.0,184.0,,14,0.24310890445403296,13.449382289084866,0.038109756097560975,0.10234648027958063,0.025,,0.10638297872340426,0.005555555555555556,0.010638297872340425,0.0005555555555555556
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0.0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,,143.0,80.0,350.0,89.0,136.0,,14,0.24310890445403296,13.449382289084866,0.016937669376693765,0.07139291063404893,0.05,,0.109375,0.00875,0.0,0.0
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0.0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,110.0,,14,0.24310890445403296,13.449382289084866,0.03387533875338753,0.05541687468796805,0.05,,0.11904761904761904,0.003125,0.023809523809523808,0.000625
